i,j,alpha,beta,loc,scale
16,4,8.678314391647913,52.07457500902754,603.0416136911813,6621.932266050742
16,5,16.067470353858923,22985038.994600188,335.64121175620005,1726670191.6898286
16,6,6.989139881624331,16.76785957317444,601.9991930496611,3138.5493768181805
16,7,13.012192378770116,74.51779086699506,403.2636061955806,7689.193226117396
16,8,14.558860643610055,2692587.1437255563,335.82773188473413,223676911.5189054
16,9,11.912366556482336,4271788.46620829,510.5705923085927,357249477.40330267
16,10,5.967029645039931,12.516072793833754,635.5629946688828,2706.939650294503
16,11,6.679263324113512,25.01777419028719,626.5572195255228,3998.7472749847275
16,12,8.194757398293543,37.47824849375918,547.626581455841,5098.796067048026
16,13,15.240314170262593,4362675.278773677,362.1744245760352,315586467.1584506
16,14,7.42443186072229,26.600048416102226,582.1673582486399,4078.9989597986605
16,15,14.392508488780926,219.95370776726855,393.2738242884499,17435.05580989724
16,16,5.6288779110462155,12.207466482607344,661.5824566108693,2579.213710832235
16,17,21.19486039597594,70521275.68529676,201.3856680813574,4281462217.4227715
16,18,17.855538864868166,1538058690.0180125,294.5792281459352,102169183948.81975
16,19,16.884601511198436,1580296.427057499,294.8835635072152,112173619.60304227
16,20,12.180681562611731,86.55059559680709,407.36049333723065,8825.24961747025
16,21,7.5574926909123725,25.601862797183493,588.9576741227004,3864.7977532937384
16,22,13.244095238415824,601.2132630092171,450.6891601819889,47710.82494588444
16,23,15.57321929674594,19359.717141252335,388.3226550712536,1347539.7966543948
16,24,5.728308053771519,13.677347615166667,706.207102737246,2611.8743236029113
16,25,12.982846085914957,2861.8537270238994,447.97592046160185,224194.61014810554
16,26,18.94982043824217,19890947.030245584,227.33096135496655,1307115253.432529
16,27,21.526396574617124,8001.91002430039,183.72991120158463,477098.359024894
16,28,9.925701785987176,51.409275953527946,514.6873040282503,5769.913204638264
16,29,8.733154385889794,53.13487444058055,546.2601009141613,6381.310378385429
17,0,22.0556771291889,60738371.693780616,242.23926721676708,3821041973.462672
17,1,17.708428067003698,29178789.544657264,349.07976073513066,1998837794.810832
17,2,18.969592956820456,22840993.317080505,326.21373916718017,1453425030.5603848
17,3,7.228544350991466,44.11537708935457,689.2594564690999,6136.242982281361
17,4,10.624113880321215,36.08902346193172,480.0903413295106,4737.586786596451
17,5,7.979582228017808,25.053874555559595,636.0131016276232,3862.1109367800323
17,6,9.854896863084594,41.21721811574263,476.8009799262921,5400.681235910277
17,7,11.319866178023513,3790583.055188817,542.403086341988,335965630.3708017
17,8,8.603293312752761,69.488509172452,595.1146166387135,8704.103055326523
17,9,14.576539968729001,2041780.192381578,377.68293785521183,159721907.20501325
17,10,9.40345545378771,33.89860592933407,477.8338029308839,4823.612054998215
17,11,16.874930472923012,6238.628847229749,311.7702294321741,433123.06906150864
17,12,17.16230797616484,284.590071512035,271.61166181583917,21034.547250689116
17,13,10.565043356670142,43.42771832415646,438.6741309770611,5251.393127422403
17,14,10.126394553966804,174.93653145928633,530.1910197719089,17191.40624689293
17,15,6.7119665241836355,24.77554274802872,629.1108636891248,3903.102529383774
17,16,8.35830397350652,51.714068965967215,582.3665659343279,6389.796565282388
17,17,8.667352085884769,34.16780962865137,534.2616982140498,4674.979933404383
17,18,11.229137198320318,134.19015008333724,491.50804264290946,12602.810700740923
17,19,13.358332422330726,73.02804022523205,326.70030294879246,7418.559100178249
17,20,19.597901720055468,376.68008885274617,174.27089246342086,26313.76931220921
17,21,24.32918150010218,20306021.145867847,90.25980739587234,1172778143.726171
17,22,11.896663089450794,46.799961195772696,393.4096093429809,5349.0382103254315
17,23,12.559815919413548,1506282.2990934427,460.9666128684446,121078780.63496603
17,24,8.316029519019732,33.442218976318216,544.8012182907141,4725.829102586744
17,25,6.856035168830788,16.843008180652344,569.8270478228469,3125.7679929190053
17,26,8.650206237605996,37.57868260462217,531.0624736363524,5107.9370217821415
17,27,6.157897891176956,18.536749151163,623.1046521415211,3336.456802658284
17,28,14.84812990527849,13805401.403567541,389.55840806500146,991575454.7065713
17,29,7.109252112833712,33.54458279182694,596.9643585110488,4953.354548261403
18,0,19.035278953292043,107167672.83035962,345.25488794819523,7224984306.9477625
18,1,13.49663981383482,147.91556713285473,431.8191477485739,13575.866512858733
18,2,14.355782750614058,222516373.27646196,431.8134141060499,17330286855.70222
18,3,13.005932495372967,83.21712101360936,407.16454666564664,8637.908156732039
18,4,14.129892084028882,91444477.82487124,444.568502158745,7233198534.354046
18,5,14.906533294812451,30353901.311167877,420.7441497772264,2328817807.971937
18,6,10.606007416205667,41.98206320437038,438.3974119024349,5414.346760716802
18,7,12.4354139908504,82.44170742984468,434.0549546868456,8536.913753160385
18,8,8.616656693085478,29.946298172676798,521.9067494131721,4585.316489784544
18,9,16.892746451100965,2019614.341455954,314.7582271166269,142334334.6779322
18,10,18.32401624420048,15585215.125390183,261.12667534445245,1072783928.8774039
18,11,14.3400901471374,1726656.8454846274,426.82168607228095,127765186.2119005
18,12,10.3370117697371,29.66739690896432,470.730557893118,3910.4833226958385
18,13,7.654192459135171,37.86499814792103,603.3734056376924,5197.377308574192
18,14,20.425885448955995,2761272.131831942,200.14829715354904,170228041.4690768
18,15,18.743317330099295,2108715.224544725,280.33703831033336,135111187.6327877
18,16,15.53331851170984,8598554.85477005,400.5514442071634,599524760.0951915
18,17,6.815007983074107,25.571496603658886,632.8928774052474,4087.3489880304105
18,18,14.61300085433053,6732.83250052738,415.62869095849317,494739.6978471837
18,19,17.68596643671235,1308.648957725109,279.7519744947755,90427.17223038326
18,20,7.2373010196735414,26.622545915306866,614.9072953947667,4127.756395884934
18,21,13.892264847265164,46768070.17536232,429.43623559083073,3547050631.2068157
18,22,14.295677304584686,414.4550670984587,376.2015701989769,33135.53531371481
18,23,8.891098069876612,55.45511877858459,584.4103166524137,6495.135419151689
18,24,9.597579581475877,27.819298830817875,456.4100999476428,3953.217877537457
18,25,16.81963390926113,1366.1526145754929,335.85682108781856,94083.66917133974
18,26,15.379879954175651,722.3790064251286,356.24544510088265,53774.542486571605
18,27,12.795228378631016,139.7051182067296,453.38771222977016,11953.268648579033
18,28,16.661970611106767,377745010.8082808,327.2649936021103,25654797674.37468
18,29,13.545981761819057,191.26021953953256,383.86023095030305,16261.35017657599
19,0,7.8290889694791,23.442747360051023,613.0549769346067,3987.768486356701
19,1,11.779301731187381,91.50432964627907,441.9581337831945,10158.21901528267
19,2,10.019505939480911,33.30418087843706,492.0784126576236,4613.77650543478
19,3,26.972099677123012,65493678.78989891,47.52027844764147,3673712015.09348
19,4,8.84557124374635,20.269271572868856,507.4691897866639,3474.084167758857
19,5,8.348787044488443,44.629519731801466,588.3631601159422,6129.531792448826
19,6,12.896156431497765,500.6554169892531,479.0170187290105,42624.22885211071
19,7,11.662971314725631,98.27973706812904,462.4216105136192,10211.869933873066
19,8,12.689075140663665,46808538.22373972,458.34427668034766,4035296221.30401
19,9,11.330672907152675,124.80772871224218,506.6916983202349,12229.664040407766
19,10,11.741525938414945,62.1623027558324,397.52734431076743,7104.746555529142
19,11,12.86618858365833,887887.4358581444,421.85211756564934,72235501.10343441
19,12,11.315500090423846,68.75029259325626,432.89303194370916,7354.692554924024
19,13,13.099798987760538,12585475.793559253,449.7616112816802,976954128.4606793
19,14,18.594560896839255,651691.2571122373,299.42546989133837,41662454.08234032
19,15,10.922820755041755,51.71148522491883,423.8168922498097,6095.573905485649
19,16,11.276338699010129,29.101674898646728,374.50999416466345,3996.341189181261
19,17,9.722763987749662,36.5406817761637,503.62424657918075,4644.049870979514
19,18,17.830719612016697,1596299.5683659674,247.08113792844316,110669445.93817002
19,19,13.418993265520506,112.89256984817568,362.3202786217713,10723.3005702439
19,20,18.377334453997026,587164146.906492,272.1820624480042,38442963045.91054
19,21,10.019050546358368,36.982141307020186,505.7779506882132,4568.959129524741
19,22,9.626686528213849,37.77992833157421,497.16428680775147,4853.895856939229
19,23,15.821834884474995,812.8339396359106,341.4870476171036,59961.44002713775
19,24,14.75732732952968,100.79952852013292,342.9483453645471,8920.675823034926
19,25,5.887340300180277,11.721628135889103,621.6793658012494,2562.9890391355975
19,26,10.669586188395431,38.63330267721974,435.90949825917824,4755.723806439656
19,27,11.291968795757207,2198082.141986111,516.8454142150651,186456630.98388842
19,28,14.03034563580541,92.774435295398,360.4517988002041,8319.530805592582
19,29,7.150511794137733,22.5183786432235,584.5568177639759,3552.287299652442
20,0,10.179713892259592,79.30711596252158,592.2363352386802,9249.532077186253
20,1,10.364677873799405,47.30807119290691,539.29140275383,5803.227648800104
20,2,15.218657004348653,1664150.653065867,437.01457215144177,121719608.97171119
20,3,16.99972063299095,235.93995417866898,322.51652484777173,18664.55652203771
20,4,13.326788850527905,58.34776063098969,364.4700762102895,6474.975030805344
20,5,17.466724811410806,315.95129724932235,278.1479746654579,24739.217038371142
20,6,21.562382531663044,42861242.45571184,206.88684262901677,2626632019.405732
20,7,19.49617248555063,236.55702368562186,167.77179245131015,18372.51074016872
20,8,15.453568994277372,1895.252039772645,367.73937908122485,147923.00267696165
20,9,9.821176624433338,50.539390942180724,550.5886588372726,5982.933743200454
20,10,7.7368616233545655,15.049387378714062,505.03538893012535,3007.0122693107533
20,11,13.824093377429335,70910129.33446956,435.3007846368722,5346114579.393362
20,12,14.958549782876354,82.72448208738626,310.0837086671752,7617.641375689867
20,13,6.9437763271558115,26.73464475228421,633.9392221068799,4086.7856444322842
20,14,5.975430625826162,14.778206424284548,640.1881859948339,2953.578014106807
20,15,13.870608699393749,142.02647760889812,416.26697831889305,11983.661946946144
20,16,8.061759185294118,43.70823280506906,620.8240234464868,5569.9840039127575
20,17,8.788087841004192,73.83020369118088,580.8173753181006,8598.401994919332
20,18,10.676260553520102,57.20544892648701,488.6275420527628,6399.214032848712
20,19,14.077153133154749,315124.93581688707,388.4597676625962,24602093.696364753
20,20,4.817579504154979,13.18765474096087,710.2353408365732,2917.494816840047
20,21,33.90262689644656,5267689.350062931,-169.99811592898135,260424950.13805938
20,22,13.469647484025593,60.704346248832636,350.23236768208494,6280.224980455039
20,23,21.145308334533034,71632194.38283254,183.22021902145784,4416407322.304664
